01A,2,2x5,abstrakt,Vodafone,30.576.000
02A,2,2x5,abstrakt,Vodafone,30.576.000
03A,2,2x5,abstrakt,Telekom,27.787.000
04A,2,2x5,abstrakt,Telekom,27.787.000
05A,2,2x5,abstrakt,TEF DE,30.585.000
06A,2,2x5,abstrakt,Telekom,28.465.000
07A,2,2x5,abstrakt,Vodafone,27.500.000
08A,2,2x5,abstrakt,Telekom,27.500.000
09A,2,2x5,abstrakt,TEF DE,14.230.000,2026
10A,2,2x5,abstrakt,TEF DE,24.439.000,2026
11A,2,2x5,abstrakt,1und1 DRI,28.747.000,2026
12A,2,2x5,abstrakt,1und1 DRI,28.747.000,2026
01K,3.6,1x20,konkret,1und1 DRI,2.000.000
02A,3.6,1x10,abstrakt,Vodafone,4.402.000
03A,3.6,1x10,abstrakt,Vodafone,4.402.000
04A,3.6,1x10,abstrakt,Vodafone,4.402.000
05A,3.6,1x10,abstrakt,Vodafone,4.864.000
06A,3.6,1x10,abstrakt,TEF DE,4.422.000
07A,3.6,1x10,abstrakt,TEF DE,4.422.000
08A,3.6,1x10,abstrakt,TEF DE,4.422.000
09A,3.6,1x10,abstrakt,TEF DE,4.422.000
10A,3.6,1x10,abstrakt,Telekom,4.402.000
11A,3.6,1x10,abstrakt,Telekom,4.402.000
12A,3.6,1x10,abstrakt,Telekom,4.402.000
13A,3.6,1x10,abstrakt,Telekom,4.402.000
14A,3.6,1x10,abstrakt,Vodafone,4.402.000
15A,3.6,1x10,abstrakt,Telekom,4.842.000
16A,3.6,1x10,abstrakt,Telekom,4.002.000
17A,3.6,1x10,abstrakt,Telekom,4.002.000
18A,3.6,1x10,abstrakt,1und1 DRI,24.402.000
19A,3.6,1x10,abstrakt,1und1 DRI,24.402.000
20A,3.6,1x10,abstrakt,1und1 DRI,24.402.000
21A,3.6,1x10,abstrakt,1und1 DRI,23.639.000
22A,3.6,1x10,abstrakt,1und1 DRI,23.639.000
23A,3.6,1x10,abstrakt,Vodafone,26.002.000
24A,3.6,1x10,abstrakt,Vodafone,23.870.000
25A,3.6,1x10,abstrakt,Vodafone,23.870.000
26A,3.6,1x10,abstrakt,TEF DE,23.890.000
27A,3.6,1x10,abstrakt,TEF DE,23.890.000
28A,3.6,1x10,abstrakt,TEF DE,23.890.000
29K,3.6,1x10,konkret,Telekom,23.870.000
