01A,2,2,5,abstrakt,TEF DE,10716000,2019
02A,2,2,5,abstrakt,Telekom,10716000,2019
03A,2,2,5,abstrakt,Telekom,10716000,2019
04A,2,2,5,abstrakt,Telekom,10716000,2019
05A,2,2,5,abstrakt,Vodafone,9742000,2019
06A,2,2,5,abstrakt,Vodafone,10716000,2019
07A,2,2,5,abstrakt,Vodafone,27500000,2019
08A,2,2,5,abstrakt,1und1 DRI,25000000,2019
09A,2,2,5,abstrakt,TEF DE,8034000,2026
10A,2,2,5,abstrakt,1und1 DRI,8837000,2026
11A,2,2,5,abstrakt,1und1 DRI,23750000,2026
12A,2,2,5,abstrakt,Vodafone,26125000,2026
01K,3.6,1,20,konkret,-,0,2019
02A,3.6,1,10,abstrakt,Vodafone,2488000,2019
03A,3.6,1,10,abstrakt,Vodafone,2488000,2019
04A,3.6,1,10,abstrakt,Vodafone,2488000,2019
05A,3.6,1,10,abstrakt,Vodafone,2488000,2019
06A,3.6,1,10,abstrakt,Telekom,2488000,2019
07A,3.6,1,10,abstrakt,TEF DE,2488000,2019
08A,3.6,1,10,abstrakt,Telekom,2262000,2019
09A,3.6,1,10,abstrakt,Telekom,2262000,2019
10A,3.6,1,10,abstrakt,Telekom,2488000,2019
11A,3.6,1,10,abstrakt,TEF DE,2488000,2019
12A,3.6,1,10,abstrakt,TEF DE,2488000,2019
13A,3.6,1,10,abstrakt,TEF DE,2488000,2019
14A,3.6,1,10,abstrakt,TEF DE,2488000,2019
15A,3.6,1,10,abstrakt,TEF DE,2488000,2019
16A,3.6,1,10,abstrakt,Vodafone,2262000,2019
17A,3.6,1,10,abstrakt,1und1 DRI,2488000,2019
18A,3.6,1,10,abstrakt,1und1 DRI,2488000,2019
19A,3.6,1,10,abstrakt,Telekom,2736000,2019
20A,3.6,1,10,abstrakt,Telekom,2736000,2019
21A,3.6,1,10,abstrakt,1und1 DRI,2488000,2019
22A,3.6,1,10,abstrakt,TEF DE,2488000,2019
23A,3.6,1,10,abstrakt,Vodafone,2488000,2019
24A,3.6,1,10,abstrakt,Vodafone,23870000,2019
25A,3.6,1,10,abstrakt,Vodafone,23870000,2019
26A,3.6,1,10,abstrakt,1und1 DRI,21700000,2019
27A,3.6,1,10,abstrakt,1und1 DRI,21700000,2019
28A,3.6,1,10,abstrakt,1und1 DRI,21700000,2019
29K,3.6,1,10,konkret,Telekom,23870000,2019
