01A,2,2x5,abstrakt,Telekom,152.999.000
02A,2,2x5,abstrakt,TEF DE,153.049.000
03A,2,2x5,abstrakt,1und1 DRI,147.470.000
04A,2,2x5,abstrakt,Vodafone,150.152.000
05A,2,2x5,abstrakt,Vodafone,147.879.000
06A,2,2x5,abstrakt,Telekom,151.453.000
07A,2,2x5,abstrakt,1und1 DRI,146.058.000
08A,2,2x5,abstrakt,Telekom,145.959.000
09A,2,2x5,abstrakt,Telekom,111.640.000,2026
10A,2,2x5,abstrakt,TEF DE,112.523.000,2026
11A,2,2x5,abstrakt,1und1 DRI,116.168.000,2026
12A,2,2x5,abstrakt,Telekom,113.654.000,2026
01K,3.6,1x20,konkret,Vodafone,2.984.000
02A,3.6,1x10,abstrakt,TEF DE,64.776.000
03A,3.6,1x10,abstrakt,1und1 DRI,66.966.000
04A,3.6,1x10,abstrakt,TEF DE,72.921.000
05A,3.6,1x10,abstrakt,TEF DE,62.522.000
06A,3.6,1x10,abstrakt,-,0
07A,3.6,1x10,abstrakt,Telekom,55.130.000
08A,3.6,1x10,abstrakt,TEF DE,64.887.000
09A,3.6,1x10,abstrakt,TEF DE,64.867.000
10A,3.6,1x10,abstrakt,Telekom,54.252.000
11A,3.6,1x10,abstrakt,1und1 DRI,65.718.000
12A,3.6,1x10,abstrakt,1und1 DRI,67.964.000
13A,3.6,1x10,abstrakt,Telekom,54.595.000
14A,3.6,1x10,abstrakt,TEF DE,64.848.000
15A,3.6,1x10,abstrakt,Telekom,54.600.000
16A,3.6,1x10,abstrakt,TEF DE,64.728.000
17A,3.6,1x10,abstrakt,Vodafone,50.570.000
18A,3.6,1x10,abstrakt,Telekom,52.574.000
19A,3.6,1x10,abstrakt,1und1 DRI,64.324.000
20A,3.6,1x10,abstrakt,1und1 DRI,64.324.000
21A,3.6,1x10,abstrakt,Vodafone,50.471.000
22A,3.6,1x10,abstrakt,Vodafone,51.032.000
23A,3.6,1x10,abstrakt,Vodafone,51.032.000
24A,3.6,1x10,abstrakt,Telekom,53.546.000
25A,3.6,1x10,abstrakt,Vodafone,50.997.000
26A,3.6,1x10,abstrakt,Telekom,67.783.000
27A,3.6,1x10,abstrakt,1und1 DRI,65.534.000
28A,3.6,1x10,abstrakt,Vodafone,51.351.000
29K,3.6,1x10,konkret,Telekom,58.779.000
