01A,2,2x5,abstrakt,Telekom,132.168.000
02A,2,2x5,abstrakt,Telekom,132.168.000
03A,2,2x5,abstrakt,Vodafone,140.429.000
04A,2,2x5,abstrakt,Telekom,129.708.000
05A,2,2x5,abstrakt,Telekom,127.745.000
06A,2,2x5,abstrakt,Vodafone,130.832.000
07A,2,2x5,abstrakt,1und1 DRI,139.084.000
08A,2,2x5,abstrakt,1und1 DRI,139.009.000
09A,2,2x5,abstrakt,Telekom,101.261.000,2026
10A,2,2x5,abstrakt,Telekom,74.394.000,2026
11A,2,2x5,abstrakt,Telekom,73.731.000,2026
12A,2,2x5,abstrakt,Telekom,103.088.000,2026
01K,3.6,1x20,konkret,Vodafone,2.420.000
02A,3.6,1x10,abstrakt,Telekom,40.614.000
03A,3.6,1x10,abstrakt,TEF DE,37.809.000
04A,3.6,1x10,abstrakt,Vodafone,54.336.000
05A,3.6,1x10,abstrakt,Telekom,43.175.000
06A,3.6,1x10,abstrakt,TEF DE,39.241.000
07A,3.6,1x10,abstrakt,Telekom,43.161.000
08A,3.6,1x10,abstrakt,Vodafone,38.758.000
09A,3.6,1x10,abstrakt,Telekom,42.731.000
10A,3.6,1x10,abstrakt,Telekom,44.617.000
11A,3.6,1x10,abstrakt,TEF DE,40.561.000
12A,3.6,1x10,abstrakt,Telekom,40.571.000
13A,3.6,1x10,abstrakt,Vodafone,38.768.000
14A,3.6,1x10,abstrakt,Vodafone,38.724.000
15A,3.6,1x10,abstrakt,TEF DE,38.771.000
16A,3.6,1x10,abstrakt,Telekom,40.571.000
17A,3.6,1x10,abstrakt,Telekom,43.666.000
18A,3.6,1x10,abstrakt,Telekom,43.236.000
19A,3.6,1x10,abstrakt,TEF DE,39.297.000
20A,3.6,1x10,abstrakt,TEF DE,39.297.000
21A,3.6,1x10,abstrakt,1und1 DRI,48.068.000
22A,3.6,1x10,abstrakt,1und1 DRI,48.602.000
23A,3.6,1x10,abstrakt,1und1 DRI,48.602.000
24A,3.6,1x10,abstrakt,1und1 DRI,46.257.000
25A,3.6,1x10,abstrakt,1und1 DRI,46.257.000
26A,3.6,1x10,abstrakt,Vodafone,38.472.000
27A,3.6,1x10,abstrakt,Vodafone,38.472.000
28A,3.6,1x10,abstrakt,1und1 DRI,48.906.000
29K,3.6,1x10,konkret,Telekom,55.980.000
