01A,2,2x5,abstrakt,Telekom,8.052.000
02A,2,2x5,abstrakt,Vodafone,8.052.000
03A,2,2x5,abstrakt,Telekom,8.857.000
04A,2,2x5,abstrakt,TEF DE,8.052.000
05A,2,2x5,abstrakt,Vodafone,8.052.000
06A,2,2x5,abstrakt,Telekom,8.857.000
07A,2,2x5,abstrakt,Vodafone,27.500.000
08A,2,2x5,abstrakt,1und1 DRI,25.000.000
09A,2,2x5,abstrakt,1und1 DRI,6.037.000,2026
10A,2,2x5,abstrakt,TEF DE,6.640.000,2026
11A,2,2x5,abstrakt,1und1 DRI,23.750.000,2026
12A,2,2x5,abstrakt,Vodafone,26.125.000,2026
01K,3.6,1x20,konkret,-,0
02A,3.6,1x10,abstrakt,Telekom,2.057.000
03A,3.6,1x10,abstrakt,TEF DE,2.262.000
04A,3.6,1x10,abstrakt,TEF DE,2.262.000
05A,3.6,1x10,abstrakt,TEF DE,2.262.000
06A,3.6,1x10,abstrakt,1und1 DRI,2.262.000
07A,3.6,1x10,abstrakt,Telekom,2.262.000
08A,3.6,1x10,abstrakt,Telekom,2.262.000
09A,3.6,1x10,abstrakt,Telekom,2.262.000
10A,3.6,1x10,abstrakt,1und1 DRI,2.262.000
11A,3.6,1x10,abstrakt,Telekom,2.262.000
12A,3.6,1x10,abstrakt,Telekom,2.262.000
13A,3.6,1x10,abstrakt,Vodafone,2.262.000
14A,3.6,1x10,abstrakt,TEF DE,2.057.000
15A,3.6,1x10,abstrakt,TEF DE,2.057.000
16A,3.6,1x10,abstrakt,TEF DE,2.057.000
17A,3.6,1x10,abstrakt,TEF DE,2.057.000
18A,3.6,1x10,abstrakt,Telekom,2.262.000
19A,3.6,1x10,abstrakt,Telekom,2.262.000
20A,3.6,1x10,abstrakt,Vodafone,2.057.000
21A,3.6,1x10,abstrakt,Vodafone,2.057.000
22A,3.6,1x10,abstrakt,Vodafone,2.057.000
23A,3.6,1x10,abstrakt,Vodafone,2.057.000
24A,3.6,1x10,abstrakt,Vodafone,23.870.000
25A,3.6,1x10,abstrakt,Vodafone,23.870.000
26A,3.6,1x10,abstrakt,1und1 DRI,21.700.000
27A,3.6,1x10,abstrakt,1und1 DRI,21.700.000
28A,3.6,1x10,abstrakt,1und1 DRI,21.700.000
29K,3.6,1x10,konkret,Telekom,23.870.000
